comparedTeam,League,Wins,SimiliartyHitting,SimilarityPitching,BABIP,wOBA,ERA,FIP,PBABIP,effERA
2012 New York Yankees,AL,95.00000000000001,100,100,98.77019017848045,108.04117541415089,95.84102147844959,95.45235667154651,96.40420805124103,97.693471970330435
1960 Boston Red Sox,AL,68.37662337662337,-15.895953432679065,217.13990112251662,102.9193264850769,102.15517728662043,121.02258566978192,111.43093678657014,109.02603556596173,123.67102737950404
1960 Chicago White Sox,AL,91.51948051948052,54.828008109635974,111.19519888535864,104.15468903658368,104.28573917263878,94.30331350892098,109.99457567944798,102.26374792814958,92.602419503724903
1960 Chicago Cubs,NL,62.307692307692314,-26.858039716544795,187.34723881413811,97.79030374965913,96.29884666084976,113.94983715661284,120.05547799474164,101.31578549496764,117.52971429918166
1960 Cincinnati Reds,NL,70.48051948051948,16.69703830922468,114.08592333403352,98.71520556119533,98.94912741383536,104.78145945435664,93.30130127374814,105.88695585888416,107.09752745094856
1960 Cleveland Indians,AL,79.94805194805195,-12.282131710676012,193.84608665035515,100.25977124226317,99.92422173377615,103.47169121117719,145.31233745069017,96.17157738123724,106.19912575579222
1960 Detroit Tigers,AL,74.68831168831169,35.280891366083,90.269150882521828,90.43266782898492,99.01370144423663,95.35112810346456,93.40960930027225,97.97239884445082,96.772612446913215
1960 Kansas City Athletics,AL,60.61935483870968,-54.31938180675954,197.42077366376208,97.6227768242365,96.71398278694838,114.73569810252053,138.31257081356927,106.57485662415036,117.99902861754691
1960 Los Angeles Dodgers,NL,86.25974025974025,9.167779309692463,98.246750062400352,101.27003042147898,99.70515230615723,89.06424053620316,84.70573863941982,85.08113440568374,86.970647683341966
1960 Milwaukee Braves,NL,92.57142857142857,40.71106459353308,107.31715082230329,101.75338550010962,103.03629080775313,98.49457188709523,95.97611061690652,99.38797492927344,94.21149716669143
1960 New York Yankees,AL,101.38064516129033,61.79809109431956,105.67695344635662,98.99204184694769,104.83888017672378,92.20768431983385,116.95233707318515,93.82642285314338,89.250174372544592
1960 Philadelphia Phillies,NL,62.06493506493507,-80.25332185019153,118.19220625170304,101.19883049383323,92.07912144244835,105.04341310299255,93.48760476518552,107.36499767747283,105.58231265165506
1960 Pittsburgh Pirates,NL,99.29032258064517,-22.31694848127323,24.089251613479888,108.21842796321175,103.98667058518947,91.42182337392619,52.59677058920704,103.0830458751131,88.083593066893854
1960 San Francisco Giants,NL,82.03846153846153,-0.32482879627818306,57.666820157726136,100.95919839783636,98.91609100601585,90.11205513074671,66.28213586903013,96.98770841430148,82.867499642777275
1960 St. Louis Cardinals,NL,89.88387096774193,-20.941982553620107,103.13705509669884,99.08342749211596,99.96072516514924,95.35112810346456,81.72758380833072,98.04800338029813,94.774674348729732
1960 Washington Senators,AL,76.79220779220779,0.4014449601943113,126.89389063169217,96.35241898132627,99.4079037736419,98.75652553573114,101.95423441983667,103.32398024450036,99.588498357104669
1961 Baltimore Orioles,AL,94.41717791411043,-27.294356630031515,20.607848675570949,99.76040056401068,98.97454057730334,79.9884623268617,69.44318912415554,88.55538949452524,70.340364639654467
1961 Boston Red Sox,AL,75.53374233128834,-25.71506742973861,199.2725252152967,100.66500296674039,98.8111441109582,106.56847931125364,127.37148598901258,102.62518886430743,109.85728206643941
1961 Chicago White Sox,AL,85.47239263803681,2.2987943611324937,115.47211690714973,98.83008546802171,100.3371101585453,100.85501771647778,95.65589587192882,104.49104871583926,104.35938556357247
1961 Chicago Cubs,NL,66.46153846153845,18.296022402799736,152.31040562293251,101.91843359680158,101.20730058669704,111.28829541128584,105.73659994050182,107.98250939542346,114.49967064666345
1961 Cincinnati Reds,NL,97.83116883116884,5.604216466409682,84.874361675528789,103.19187038956288,101.30316678740547,93.89949925327242,92.30823044066882,96.36858416359884,92.017425679562308
1961 Cleveland Indians,AL,78.48447204968944,39.295118939103546,156.81277639931628,100.6771317350208,100.16041625699297,103.09072007965096,125.43346135488325,99.21757103544292,103.90646960452625
1961 Detroit Tigers,AL,100.38036809815951,117.31729118764008,58.943459879379404,102.38993610137453,105.55348442824423,88.18603765849659,96.17083579573104,97.19713619129675,84.594636350748814
1961 Kansas City Athletics,AL,61.0,-11.934112254305788,207.1049949366388,97.51822477727892,94.52123482545628,117.7469911271194,117.97391487521622,111.05406451729951,120.51338810288861
1961 Los Angeles Angels,AL,70.0,50.41036954642031,210.80548812559755,97.36079996121802,100.79850132936711,107.06530205862543,127.07361366507541,94.57312204583137,113.25415175928623
1961 Los Angeles Dodgers,NL,93.62337662337663,39.7675476091528,136.65502452739821,100.72298457957581,102.6085646002844,100.35819496910598,83.39607953689179,93.24442467526845,101.18897385024877
1961 Minnesota Twins,AL,70.43478260869566,-28.99942477780101,142.74153946558869,95.54052638247276,99.45341045173282,106.32006793756771,100.80524913521604,98.53696028860189,103.40322965003044
